title,slug,category_id,collection_ids,short_description,long_description,country_code,selling_price,mrp,cost,average_rating,review_count,sku,barcode,has_variations,stock_quantity,track_quantity,allow_backorders,sold_count,in_cart_count,weight,height,width,length,weight_unit,dimension_unit,search_tags,meta_title,meta_desc,type,status
Wireless Mouse,wireless-mouse,1,"[1,2]",Compact wireless mouse,A high-precision wireless mouse with ergonomic design.,IN,1499,1999,1200,4.2,87,WM-4521,123456789012,0,320,1,0,120,30,0.085,4,2.5,7,kg,cm,"electronics,accessories,mouse",Wireless Mouse - Ergonomic,A high-quality ergonomic wireless mouse for everyday use.,physical-product,4
Men's Running Shoes,mens-running-shoes,2,[2],,Lightweight and comfortable running shoes with breathable mesh.,IN,2999,,2200,4.7,230,,987654321098,1,150,1,1,95,18,0.95,12,9,30,kg,cm,"shoes,men,running",Men's Running Shoes,,physical-product,4
Bluetooth Speaker,bluetooth-speaker,1,"[1,3]",Portable Bluetooth speaker,"Loud, clear sound with deep bass and 10-hour battery life.",IN,1799,2299,,4.5,310,BS-8834,111222333444,0,80,1,0,200,12,0.42,7.5,7.5,15,kg,cm,"audio,bluetooth,speaker",Bluetooth Speaker - Portable,,physical-product,4
Canvas Wall Art,canvas-wall-art,2,[3],Modern wall art,Set of 3 framed canvas prints in abstract style.,IN,3499,3999,2800,3.9,58,ART-9821,555666777888,0,40,0,0,18,3,2.3,40,60,2,kg,cm,"home,decor,art",Abstract Wall Art,Decorate your space with modern canvas art.,physical-product,4
Apple MacBook Air M4,apple-macbook-air-m4,7,"[1,2,3]",Powerful and portable MacBook with M4 chip,"Apple MacBook Air M4 features the latest M4 chip, Liquid Retina display, up to 18 hours battery life, and sleek unibody design.",IN,97000,99000,,,,MB-M4-2025,789456123987,0,50,1,0,20,5,1.29,1.13,30.41,21.5,kg,cm,"laptop,macbook,apple,mac,m4",Apple MacBook Air M4 - Thin & Light,Experience next-gen performance with Apples M4-powered MacBook Air.,physical-product,4
Smartphone X100,smartphone-x100,1,"[1,2]","Flagship smartphone with 6.7\ display""","The X100 features a 6.7-inch OLED, 12GB RAM, 256GB storage and a triple camera system.",IN,39999,42999,32000,4.6,1420,SPX100-256,8901234500012,1,200,1,0,560,45,0.185,15.7,7.4,0.8,kg,cm,"smartphone,mobile,android",Smartphone X100 - 256GB,High performance smartphone with premium camera.,physical-product,4
Wireless Earbuds Pro,wireless-earbuds-pro,1,"[1,3]",Noise-cancelling true wireless earbuds,"Compact earbuds with active noise cancellation, wireless charging case and 30hr battery.",IN,7999,9999,4500,4.4,640,WE-PRO-01,8901234500029,0,500,1,0,1500,220,0.045,2,2,6,kg,cm,"audio,earbuds,wireless,anc",Wireless Earbuds Pro - ANC,Premium sound and comfort with ANC.,physical-product,4
Tablet S7,tablet-s7,7,[2],"10.5\ tablet for work & play""","Tablet S7 with stylus support, 8GB RAM and 128GB storage for productivity on the go.",IN,24999,26999,18000,4.3,320,TB-S7-128,8901234500036,1,120,1,1,210,30,0.45,25,16,0.7,kg,cm,"tablet,android,stylus",Tablet S7 - 128GB,Portable tablet with high performance.,physical-product,4
Smartwatch Active,smartwatch-active,1,[3],Fitness-focused smartwatch,"Tracks heart-rate, sleep, workouts and provides notifications with long battery life.",IN,6999,8499,3500,4,410,SW-ACT-42,8901234500043,0,300,1,1,640,85,0.03,4.6,4.1,1.2,kg,cm,"wearable,smartwatch,fitness",Smartwatch Active - 42mm,Stylish fitness smartwatch with long battery.,physical-product,4
Gaming Chair Pro,gaming-chair-pro,4,[4],Ergonomic gaming chair with lumbar support,"High-back gaming chair with adjustable armrests, reclining and lumbar cushion.",IN,13999,16999,9000,4.2,220,GC-PRO-01,8901234500050,0,75,1,0,180,25,18,70,66,75,kg,cm,"furniture,gaming,chair",Gaming Chair Pro,Comfortable gaming chair for long sessions.,physical-product,4
